Epoch,Reward,Gates passed
0,-1,0
1,9,1
2,-1,0
3,-1,0
4,-1,0
5,-2,0
6,-1,0
7,9,1
8,8,1
9,9,1
10,-1,0
11,-1,0
12,-1,0
13,-2,0
14,9,1
15,-1,0
16,-1,0
17,8,1
18,-1,0
19,-1,0
20,9,1
21,8,1
22,-1,0
23,-1,0
24,-1,0
25,-2,0
26,-1,1
27,-1,0
28,-1,0
29,-1,0
30,9,1
31,-1,0
32,-1,0
33,-2,0
34,9,1
35,8,1
36,-1,0
37,-1,0
38,-1,0
39,-1,0
40,-1,0
41,8,1
42,-1,0
43,-2,0
44,0,0
45,-2,1
46,0,0
47,-1,0
48,8,1
49,-1,0
50,8,1
51,9,1
52,8,1
53,-1,0
54,-1,0
55,-1,0
56,8,1
57,-1,0
58,-1,0
59,-1,0
60,9,1
61,8,1
62,-1,0
63,9,1
64,8,1
65,-1,0
66,9,1
67,-1,0
68,-1,0
69,-2,1
70,-1,0
71,-1,0
72,-1,0
73,-1,0
74,8,1
75,9,1
76,-1,0
77,-1,0
78,-2,0
79,10,1
80,-1,0
81,8,1
82,8,1
83,9,1
84,-1,0
85,-1,0
86,-1,0
87,8,1
88,0,0
89,-2,0
90,9,1
91,17,2
92,-1,0
93,-1,0
94,-1,0
95,8,1
96,-1,0
97,-1,0
98,9,1
99,-1,0
100,-1,0
101,9,1
102,8,1
103,-1,0
104,-1,0
105,-1,0
106,-1,0
107,9,1
108,-2,0
109,-1,0
110,-1,0
111,9,1
112,8,1
113,9,1
114,-1,0
115,-1,0
116,-1,0
117,8,1
118,9,1
119,-1,0
120,8,1
121,-1,0
122,-1,0
123,9,1
124,8,1
125,9,1
126,-1,0
127,-1,0
128,9,1
129,-2,0
130,8,1
131,-1,0
132,-1,0
133,-1,0
134,-1,0
135,17,2
136,-1,0
137,-1,0
138,-2,1
139,-1,0
140,-1,0
141,-1,0
142,8,1
143,0,0
144,-2,0
145,-1,1
146,8,1
147,9,1
148,8,1
149,-1,0
150,8,1
151,-1,0
152,-1,0
153,-1,0
154,-1,0
155,-1,0
156,-1,0
157,-2,0
158,-1,0
159,-1,1
160,8,1
161,9,1
162,-1,0
163,-1,0
164,-2,0
165,9,1
166,8,1
167,-1,0
168,71,8
169,-1,0
170,9,1
171,-1,0
172,9,1
173,-1,0
174,-1,0
175,8,1
176,-1,0
177,9,1
178,8,1
179,-1,0
180,-1,0
181,-1,0
182,-1,0
183,-2,0
184,-1,0
185,-1,0
186,-2,0
187,9,1
188,-1,0
189,-1,0
190,8,1
191,-1,0
192,9,1
193,-1,0
194,-1,0
195,8,1
196,9,1
197,-1,0
198,0,0
199,-2,0
200,-1,0
201,-1,0
202,-1,0
203,8,1
204,-1,0
205,-1,0
206,8,1
207,9,1
208,8,1
209,-1,0
210,8,1
211,8,1
212,9,1
213,-1,0
214,8,1
215,-1,0
216,8,1
217,9,1
218,-1,0
219,-1,0
220,9,1
221,-2,0
222,9,1
223,-1,0
224,-1,1
225,9,1
226,9,1
227,8,1
228,9,1
229,-1,0
230,-2,0
231,-1,0
232,9,1
233,-1,0
234,-1,0
235,-2,0
236,-1,1
237,9,1
238,8,1
239,9,1
240,-1,0
241,9,1
242,-1,0
243,-2,0
244,9,1
245,-2,0
246,-1,0
247,9,1
248,-1,0
249,8,1
250,-1,0
251,8,1
252,8,1
253,9,1
254,-1,0
255,-1,0
256,62,7
257,55,6
258,8,1
259,9,1
260,-1,0
261,-2,0
262,-1,0
263,-1,0
264,-1,0
265,-1,0
266,0,0
267,-1,0
268,-1,0
269,8,1
270,-1,0
271,7,1
272,-1,0
273,-1,0
274,9,1
275,-1,0
276,9,1
277,-1,0
278,9,1
279,0,0
280,-1,0
281,-1,0
282,-1,0
283,-1,0
284,-1,0
285,-1,0
286,-1,0
287,-1,0
288,-1,0
289,17,2
290,-1,0
291,0,0
292,-1,0
293,8,1
294,-1,0
295,8,1
296,-1,0
297,-1,0
298,-1,0
299,8,1
300,9,1
301,9,1
302,9,1
303,-1,0
304,-1,0
305,-1,0
306,-1,0
307,9,1
308,-1,0
309,-1,1
310,9,1
311,8,1
312,-1,0
313,-1,0
314,9,1
315,-1,0
316,-2,0
317,9,1
318,-1,1
319,-1,0
320,-1,0
321,-1,0
322,-1,0
323,-1,0
324,9,1
325,-1,0
326,8,1
327,8,1
328,9,1
329,-1,0
330,-1,0
331,-1,0
332,-1,0
333,-2,0
334,-1,0
335,9,1
336,-1,0
337,-2,0
338,-1,0
339,-1,0
340,-2,0
341,-1,0
342,9,1
343,9,1
344,-1,0
345,-1,0
346,-1,0
347,8,1
348,-1,0
349,-1,0
350,-1,0
351,8,1
352,17,2
353,-1,0
354,-2,0
355,9,1
356,-1,0
357,9,1
