Epoch,Reward,Gates passed
0,16,2
1,7,1
2,24,3
3,-2,0
4,23,3
5,7,1
6,6,1
7,-2,0
8,-2,0
9,14,2
10,-2,0
11,14,2
12,-2,0
13,8,1
14,6,1
15,7,1
16,-3,0
17,-2,0
18,14,2
19,16,2
20,-3,0
21,-2,0
22,7,1
23,-3,0
24,-2,0
25,-3,0
26,-2,0
27,-3,0
28,-2,0
29,7,1
30,-2,0
31,15,2
32,24,3
33,-2,0
34,-1,0
35,-3,0
36,15,2
37,-2,0
38,15,2
39,16,2
40,-3,0
41,-2,0
42,-3,0
43,6,1
44,7,1
45,6,1
46,-2,0
47,14,2
48,24,3
49,26,3
50,6,1
51,5,1
52,7,1
53,6,1
54,24,3
55,-2,0
56,-2,0
57,24,3
58,24,3
59,-3,1
60,-2,0
61,25,3
62,33,4
63,24,3
64,-2,0
65,0,0
66,14,2
67,7,1
68,14,2
69,-2,0
70,7,1
71,25,3
72,6,1
73,6,1
74,16,2
75,14,2
76,-3,0
77,15,2
78,15,2
79,15,2
80,16,2
81,42,5
82,6,1
83,14,2
84,7,1
85,-3,0
86,8,1
87,6,1
88,-2,0
89,24,3
90,13,2
91,15,2
92,-2,0
93,-3,0
94,-2,0
95,-3,0
96,-3,0
97,-2,0
98,6,1
99,34,4
100,34,4
101,-1,0
102,-2,0
103,34,4
104,15,2
105,23,3
106,7,1
107,32,4
108,-3,0
109,-2,0
110,25,3
111,6,1
112,24,3
113,15,2
114,6,1
115,-3,0
116,6,1
117,6,1
118,-3,0
119,-2,0
120,-3,0
121,16,2
122,-2,0
123,26,3
124,24,3
125,24,3
126,23,3
127,15,2
128,43,5
129,-2,0
130,15,2
131,-2,0
132,-2,0
133,6,1
134,5,1
135,14,2
136,6,1
137,-2,0
138,-2,0
139,-1,0
140,-2,0
141,-2,0
142,15,2
143,25,3
144,-3,0
145,15,2
146,6,1
147,7,1
148,-4,0
149,-1,0
150,14,2
151,-3,0
152,-3,0
153,16,2
154,34,4
155,16,2
156,34,4
157,-3,0
158,-2,0
159,-2,0
160,7,1
161,6,1
162,24,3
163,34,4
164,-2,0
165,-3,0
166,-4,0
167,14,2
168,15,2
169,24,3
170,5,1
171,25,3
172,31,4
173,-1,0
174,-4,0
175,-2,0
176,7,1
177,-2,0
178,-2,0
179,-1,0
180,6,1
181,14,2
182,33,4
183,16,2
184,6,1
185,-2,0
186,-2,0
187,26,3
188,-3,0
189,-1,0
190,-2,0
191,7,1
192,-3,0
193,-3,0
194,7,1
195,-3,0
196,22,3
197,7,1
198,25,3
199,15,2
200,-2,0
201,5,1
202,23,3
203,-2,0
204,14,2
205,-3,0
206,15,3
207,25,3
208,-2,0
209,6,1
210,24,3
211,14,2
212,-2,0
213,25,3
214,7,1
215,-2,0
216,16,2
217,-1,0
218,17,2
219,0,0
220,36,4
221,18,2
222,-2,0
223,13,2
224,-2,0
225,25,3
226,14,2
227,23,3
228,23,3
229,-2,0
230,12,2
231,-2,0
232,18,2
233,6,1
234,9,1
235,-2,0
236,6,1
237,32,4
238,-1,0
239,-3,1
240,17,2
241,12,2
242,-3,0
243,-3,0
244,26,3
245,26,3
246,-1,0
247,-3,0
248,52,6
249,6,1
250,25,3
251,14,2
252,-2,0
253,6,1
254,8,1
255,9,2
256,36,4
257,6,1
258,-2,0
259,-2,0
260,-2,0
261,-1,0
262,-2,0
263,17,2
264,-2,0
265,-2,0
266,-2,0
267,-3,0
268,35,4
269,-1,0
270,15,2
271,7,1
272,-1,0
273,14,2
274,14,2
275,25,3
276,16,2
277,6,1
278,24,3
279,-1,0
280,-1,0
281,25,3
282,-2,0
283,-1,0
284,-2,0
285,15,2
286,26,3
287,-3,0
288,-2,0
289,-2,1
290,13,2
291,24,3
292,27,3
293,-1,0
294,-2,0
295,26,3
296,26,3
297,-2,0
298,5,1
299,-2,0
300,-1,0
301,197,22
301,197,22
302,998,0
303,-1,0
304,-1,0
305,-1,0
306,-1,0
307,-1,0
308,24,3
309,33,4
310,124,14
311,6,1
312,8,1
313,-1,0
314,24,3
315,13,2
316,-2,0
317,25,3
318,-1,0
319,-2,0
320,-2,0
321,-2,0
322,23,3
323,26,3
324,7,1
325,-2,0
326,23,3
327,-2,0
328,18,2
329,-2,0
330,-3,0
331,-2,0
332,17,2
333,-3,0
333,0,0
334,17,2
335,125,14
336,15,2
337,15,2
338,16,3
339,36,4
340,17,2
341,17,2
342,16,2
343,15,2
344,50,6
345,103,12
346,13,3
347,24,3
348,100,11
349,199,22
349,199,22
350,998,0
351,27,3
351,30,12
351,30,12
352,969,0
353,-6,0
